0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	
0	0	0	70	0	0	0	71	0	0	0	0	0	0	14	0	
0	0	8	0	0	40	0	0	0	0	0	0	0	31	26	0	
0	0	0	2	0	43	0	15	0	0	0	0	0	60	15	0	
0	0	9	0	0	49	0	0	0	0	0	0	0	87	0	0	
0	0	32	0	0	27	0	0	0	0	0	0	0	79	0	0	
0	0	21	3	0	16	0	0	0	0	0	0	0	41	5	0	
0	0	3	20	0	3	0	36	0	0	0	0	0	3	22	0	
0	0	0	41	0	0	0	51	0	0	0	0	0	0	31	0	
0	0	0	28	0	20	0	29	0	0	0	0	0	29	26	0	
0	0	0	11	0	35	0	16	0	0	0	0	0	57	16	0	
0	0	27	0	0	66	0	0	0	0	0	0	0	113	0	0	
0	0	36	0	0	67	0	0	43	0	0	0	0	141	0	0	

0	0	0	174	0	0	0	26	0	0	46	0	0	0	0	0	
0	0	0	8	0	11	0	0	0	0	0	0	0	0	24	0	
0	0	0	2	0	25	0	0	13	0	0	0	0	0	21	0	
0	0	0	0	0	59	0	0	25	0	0	0	0	0	33	0	
0	0	0	0	0	60	0	0	64	0	0	19	0	0	0	0	
0	0	0	0	0	27	0	0	38	0	0	43	0	0	0	4	
0	0	0	49	0	0	0	0	0	0	0	0	0	0	21	7	
0	0	0	72	0	0	0	0	0	0	0	0	0	0	3	0	
0	0	0	45	0	3	0	0	0	0	0	0	0	0	6	0	
0	0	0	11	0	23	0	0	0	0	0	0	0	0	14	0	
0	0	0	0	0	80	0	0	26	8	0	0	0	0	0	0	
0	0	0	0	0	48	0	0	103	38	0	0	0	29	0	0	

0	0	0	200	0	0	0	0	0	0	55	0	0	0	0	0	
0	0	0	34	0	2	0	0	0	0	0	0	0	0	8	0	
0	0	0	6	0	25	0	0	15	1	0	0	0	0	15	0	
0	0	0	0	0	32	0	0	37	0	0	0	0	0	39	4	
0	0	0	0	0	71	0	0	66	0	0	0	0	0	49	0	
0	0	0	0	0	38	0	0	44	0	0	1	0	0	16	0	
0	0	0	66	0	0	0	0	0	0	0	18	0	0	0	0	
0	0	0	79	0	0	0	0	0	0	0	11	0	0	0	0	
0	0	0	41	0	10	0	0	0	0	0	10	0	0	0	0	
